Year,Retail,"Logding, Food & Beverage",Travel & Tourism
1990,16747.4,2283.8,..
1991,29183.3,4220.3,..
1992,44778.3,6436.2,..
1993,58424.4,8848.9,..
1994,74091,11656,7743
1995,94863,16957,9340
1996,117547,18950,9377
1997,131770.4,20523.5,9605.8
1998,153780.6,21587.7,10229.8
1999,166989,21672.1,12262.6
2000,183864.7,23506.2,13039.7
2001,200011,30535,14769
2002,221569.7,35783.8,23530.5
2003,262832.6,39382.3,31594.4
2004,314618,45654.4,38252.1
2005,373879.4,58429.3,47984.8
2006,463144.1,71314.9,61748.1
2007,574814.4,90101.1,81243.9
2008,781957.1,113983.2,111273.2
2009,1116476.6,158847.9,130540.1
2010,1254200,212065.2,211079.5
2011,1535600,260325.9,283597.6
2012,1740359.7,305651,323119.9
2013,1964666.5,315873.2,334663.9
2014,2189448.4,353306.5,373479
2015,2403723.2,399841.8,419637.6
2016,2648856.7,439892.3,457519.6
2017,2967484.7,488615.6,500498.8
2018,3308059,534168.5,551298
2019,3694559.9,595936.91,601617.59
2020,3815079.05,479715.67,552850.58
2021,3830559.82,379390.64,447115.82
