Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.732595966,3.366778149,-1.035375324,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,5.257855673,0.635029268,-18.58909978,17.17250851,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.197137339,3.700190484,0.770097317,4.229408197,4.039082193,2.895728323,2.48595245,2.639537019,2.61079684,2.038298519,-3.042653147,4.402446665,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73714562,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.96542661,4.852048409,5.135583722,6.108757952,5.930449667,2.745137387,0.113686989,2.305623495,2.946174599,3.190878868,-0.900381895,3.965398557,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.859999999,3.470000001,8.540000003,4.949999998,4.819999999,0.939999999,-2.579999996,-0.15,-1.316312102,-0.699999998,-5.6,1.1,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.8022274,4.019359685,2.088063376,-3.481630373,8.515501123,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.949417981,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.747810673,3.247513658,5.147833264,2.585797358,2.935539269,3.294068181,3.518252295,1.056332638,2.383924784,1.254307584,-4.79457341,3.670568259,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.602850048,6.928508595,4.776625737,5.055559654,4.165691843,6.786772879,5.561490755,0.735068713,1.313913881,1.108348139,-4.957052437,3.91629608,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946,
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.2,5.7,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,5.065359477,-1.866251944,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-7.840594744,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.496459204,3.14432324,6.883640817,4.862236166,-20.19237057,5.27084884,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.20656631,2.391385132,3.902007806,2.578754288,2.579017112,2.152735906,2.730547992,2.282183642,2.883045123,2.171396224,-0.050885336,2.236212439,
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.425385361,1.517388583,-6.453968467,4.556850913,
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.048944513,0.100000138,2.165239475,5.809800843,2.750506815,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.600037273,
